42,5,16,24
78,5,16,24
95,5,17,24
114,5,16,24
132,5,16,24
150,5,24,24
176,5,16,24
194,5,16,24
256,5,16,24
292,5,16,24
310,5,16,24
328,5,16,24
346,5,16,24
382,5,15,24
60,6,16,23
274,6,16,23
364,6,16,23
212,10,16,19
399,13,16,16
230,14,24,16
417,16,24,13
463,21,8,8
473,21,8,8
483,21,8,8
503,21,13,8
518,21,8,8
538,21,8,8
548,21,8,8
558,21,8,8
568,21,8,8
453,22,8,7
528,22,8,7
443,23,8,6
578,23,8,6
588,23,14,6
493,24,8,5
19,27,6,8
26,27,13,8
42,33,16,24
60,33,16,24
78,33,16,24
95,33,17,24
114,33,16,24
132,33,16,24
149,33,20,24
171,33,16,24
189,33,16,24
207,33,16,24
225,33,16,24
287,33,16,24
323,33,16,24
341,33,16,24
359,33,16,24
377,33,16,24
413,33,15,24
305,34,16,23
395,34,16,23
243,37,16,20
430,41,16,16
261,43,24,14
448,44,24,13
494,49,8,8
504,49,8,8
514,49,8,8
534,49,13,8
549,49,8,8
569,49,8,8
579,49,8,8
589,49,8,8
599,49,8,8
484,50,8,7
559,50,8,7
474,51,8,6
609,51,8,6
619,51,14,6
524,52,8,5
42,61,16,24
78,61,16,24
96,61,16,24
114,61,16,24
158,61,16,24
238,61,16,24
274,61,16,24
292,61,16,24
310,61,16,24
328,61,16,24
364,61,15,24
60,62,16,23
176,62,16,23
256,62,16,23
346,62,16,23
132,64,24,22
194,65,16,20
212,69,24,16
381,69,16,16
22,70,6,8
29,71,10,7
399,72,24,13
445,77,8,8
455,77,8,8
465,77,8,8
485,77,13,8
500,77,8,8
520,77,8,8
530,77,8,8
540,77,8,8
550,77,8,8
435,78,8,7
510,78,8,7
425,79,8,6
560,79,8,6
570,79,14,6
475,80,8,5
207,88,16,25
42,89,16,24
78,89,16,24
96,89,16,24
114,89,17,24
132,89,16,24
186,89,19,24
60,90,16,23
150,90,16,23
168,90,16,23
225,90,16,23
287,90,16,24
323,90,16,24
341,90,16,24
359,90,16,24
377,90,16,24
413,90,15,24
305,91,16,23
395,91,16,23
243,95,16,18
430,98,16,16
261,99,24,14
448,101,24,13
494,106,8,8
504,106,8,8
514,106,8,8
534,106,13,8
549,106,8,8
569,106,8,8
579,106,8,8
589,106,8,8
599,106,8,8
484,107,8,7
559,107,8,7
474,108,8,6
609,108,8,6
619,108,14,6
524,109,8,5
18,112,6,8
25,112,14,8
42,118,16,24
60,118,16,24
78,118,16,24
96,118,16,24
114,118,16,24
132,118,16,24
150,118,16,24
168,118,16,24
186,118,18,24
206,118,16,24
285,118,16,24
321,118,16,24
339,118,16,24
357,118,16,24
375,118,16,24
411,118,15,24
224,119,16,23
303,119,16,23
393,119,16,23
242,124,16,19
428,126,16,16
260,129,23,13
446,129,24,13
492,134,8,8
502,134,8,8
512,134,8,8
532,134,13,8
547,134,8,8
567,134,8,8
577,134,8,8
587,134,8,8
597,134,8,8
482,135,8,7
557,135,8,7
472,136,8,6
607,136,8,6
617,136,14,6
522,137,8,5
42,146,16,24
78,146,16,24
96,146,16,24
114,146,16,24
159,146,16,24
177,146,16,24
195,146,16,25
213,146,16,25
275,146,16,24
311,146,16,24
329,146,16,24
347,146,16,24
365,146,16,24
401,146,15,24
60,147,16,23
293,147,16,23
383,147,16,23
131,148,26,22
15,151,24,9
231,151,17,19
418,154,16,16
249,155,24,15
436,157,24,13
482,162,8,8
492,162,8,8
502,162,8,8
522,162,13,8
537,162,8,8
557,162,8,8
567,162,8,8
577,162,8,8
587,162,8,8
472,163,8,7
547,163,8,7
462,164,8,6
597,164,8,6
607,164,14,6
512,165,8,5
132,175,16,25
42,176,16,24
78,176,16,24
96,176,16,24
114,176,16,24
173,176,16,24
252,176,16,24
288,176,16,24
306,176,16,24
324,176,16,24
342,176,16,24
378,176,15,24
60,177,16,23
150,177,6,5
191,177,16,23
270,177,16,23
360,177,16,23
154,179,17,21
209,181,16,19
150,183,3,2
395,184,16,16
10,185,6,8
17,185,22,8
227,187,23,13
413,187,24,13
459,192,8,8
469,192,8,8
479,192,8,8
499,192,13,8
514,192,8,8
534,192,8,8
544,192,8,8
554,192,8,8
564,192,8,8
449,193,8,7
524,193,8,7
439,194,8,6
574,194,8,6
584,194,14,6
489,195,8,5
42,206,16,24
78,206,16,24
96,206,16,24
114,206,16,24
132,206,16,24
177,206,16,24
195,206,16,24
213,206,16,24
231,206,16,24
292,206,16,24
328,206,16,24
346,206,16,24
364,206,16,24
382,206,16,24
418,206,15,24
60,207,16,23
150,207,24,23
310,207,16,23
400,207,16,23
249,211,15,19
20,214,6,8
435,214,16,16
27,216,12,7
266,217,24,14
453,217,24,13
499,222,8,8
509,222,8,8
519,222,8,8
539,222,13,8
554,222,8,8
574,222,8,8
584,222,8,8
594,222,8,8
604,222,8,8
489,223,8,7
564,223,8,7
479,224,8,6
614,224,8,6
624,224,14,6
529,225,8,5
42,235,16,24
60,235,16,24
78,235,16,24
96,235,16,24
114,235,16,24
158,235,16,24
176,235,16,24
238,235,16,24
274,235,16,24
292,235,16,24
310,235,16,24
328,235,16,24
364,235,15,24
256,236,16,23
346,236,16,23
132,239,24,18
194,240,16,19
20,243,6,9
381,243,16,16
27,245,12,7
399,246,24,13
212,248,24,11
445,251,8,8
455,251,8,8
465,251,8,8
485,251,13,8
500,251,8,8
520,251,8,8
530,251,8,8
540,251,8,8
550,251,8,8
435,252,8,7
510,252,8,7
425,253,8,6
560,253,8,6
570,253,14,6
475,254,8,5
114,263,16,23
139,263,16,24
157,263,16,24
175,263,16,24
273,263,16,24
309,263,16,24
327,263,16,24
345,263,16,24
363,263,16,24
399,263,15,24
42,264,16,23
78,264,16,23
96,264,16,23
193,264,16,23
291,264,16,23
381,264,16,23
60,265,16,22
133,265,5,5
211,266,16,21
229,270,16,17
22,271,17,9
247,271,24,16
416,271,16,16
15,272,6,8
132,273,6,3
434,274,24,13
480,279,8,8
490,279,8,8
500,279,8,8
520,279,13,8
535,279,8,8
555,279,8,8
565,279,8,8
575,279,8,8
585,279,8,8
470,280,8,7
545,280,8,7
460,281,8,6
595,281,8,6
605,281,14,6
510,282,8,5
42,291,16,24
78,291,16,24
96,291,16,24
114,291,17,24
140,291,2,3
140,291,16,24
158,291,16,24
176,291,16,24
212,291,16,25
273,291,16,24
309,291,16,24
327,291,16,24
345,291,16,24
363,291,16,24
399,291,15,24
133,292,3,3
194,292,16,23
291,292,16,23
381,292,16,23
60,293,16,22
230,298,16,17
132,299,3,2
248,299,23,16
416,299,16,16
14,300,6,8
21,302,18,6
434,302,24,13
134,304,3,2
480,307,8,8
490,307,8,8
500,307,8,8
520,307,13,8
535,307,8,8
555,307,8,8
565,307,8,8
575,307,8,8
585,307,8,8
470,308,8,7
545,308,8,7
460,309,8,6
595,309,8,6
605,309,14,6
510,310,8,5
253,320,16,24
289,320,16,24
307,320,16,24
325,320,16,24
343,320,16,24
379,320,15,24
42,321,16,23
78,321,16,24
95,321,17,24
114,321,16,24
150,321,22,23
192,321,16,23
271,321,16,23
361,321,16,23
60,322,16,22
132,322,16,22
174,322,16,22
210,325,16,19
228,328,23,16
396,328,16,16
26,330,6,8
33,330,6,8
414,331,24,13
460,336,8,8
470,336,8,8
480,336,8,8
500,336,13,8
515,336,8,8
535,336,8,8
545,336,8,8
555,336,8,8
565,336,8,8
450,337,8,7
525,337,8,7
440,338,8,6
575,338,8,6
585,338,14,6
490,339,8,5
114,348,16,25
42,349,17,24
78,349,16,24
96,349,16,24
132,349,16,24
211,349,16,24
291,349,16,24
327,349,16,24
345,349,16,24
363,349,16,24
381,349,16,24
417,349,15,24
60,350,16,23
176,350,16,23
194,350,16,23
229,350,16,23
309,350,16,23
399,350,16,23
150,352,24,21
247,356,16,17
20,357,6,8
27,357,12,9
434,357,16,16
265,360,24,13
452,360,24,13
498,365,8,8
508,365,8,8
518,365,8,8
538,365,13,8
553,365,8,8
573,365,8,8
583,365,8,8
593,365,8,8
603,365,8,8
488,366,8,7
563,366,8,7
478,367,8,6
613,367,8,6
623,367,14,6
528,368,8,5
210,379,16,24
228,379,16,24
290,379,16,24
326,379,16,24
344,379,16,24
362,379,16,24
380,379,16,24
416,379,15,24
42,380,16,23
78,380,16,23
96,380,16,23
114,380,16,23
132,380,16,23
150,380,22,24
308,380,16,23
398,380,16,23
60,381,16,22
174,381,16,22
192,381,16,22
246,384,16,19
433,387,16,16
24,388,10,9
264,388,24,15
6,389,6,8
13,389,10,8
451,390,24,13
35,391,4,6
497,395,8,8
507,395,8,8
517,395,8,8
537,395,13,8
552,395,8,8
572,395,8,8
582,395,8,8
592,395,8,8
602,395,8,8
487,396,8,7
562,396,8,7
477,397,8,6
612,397,8,6
622,397,14,6
527,398,8,5
42,409,16,24
60,409,16,24
78,409,16,24
96,409,16,24
114,409,16,24
241,412,16,21
259,412,16,20
223,413,16,19
313,413,17,19
331,413,16,19
349,413,15,19
366,413,16,19
420,413,16,19
456,413,16,19
277,414,16,18
295,414,16,19
384,415,16,17
402,415,16,17
438,415,16,17
15,418,24,9
132,419,24,14
619,423,16,24
475,431,15,9
492,431,4,8
498,431,4,8
504,431,13,8
548,431,3,8
553,431,2,8
557,431,4,4
563,431,7,7
572,431,13,8
519,433,12,6
534,433,12,6
241,436,16,21
259,436,16,20
223,437,16,19
313,437,17,19
331,437,16,19
349,437,15,19
366,437,16,19
420,437,16,19
456,437,16,19
277,438,16,18
295,438,16,19
384,439,16,17
402,439,16,17
438,439,16,17
153,440,66,59
79,462,30,9
5,463,22,8
29,463,28,9
59,463,18,8
111,463,12,8
125,463,23,8
37,472,11,10
83,472,33,9
50,473,31,9
